ID,Binomial,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,Markup_1,Markup_2,Markup_3,Markup_4
Rhizothera_longirostris_1,Rhizothera_longirostris,Long-billed Partridge,Tring,76.3.7.14,M,Rhizothera,longirostris,longirostris,Y,https://www.markmybird.org/gallery/rhizothera_longirostris/1619,40_chris13,36_zoe,52_grrlscientist,
Margaroperdix_madagascariensis_1,Margaroperdix_madagascariensis,Madagascar Partridge,Tring,1931.8.18.692,M,Margaroperdix,madagarensis,,Y,https://www.markmybird.org/gallery/margaroperdix_madagascariensis/1759,465_JSquirrell,36_zoe,540_meyerscottbgmail.com,44_Chris
Melanoperdix_niger_2,Melanoperdix_niger,Black Partridge,Tring,1900.2.15.67,M,Melanoperdix,niger,borneensis,,https://www.markmybird.org/gallery/melanoperdix_niger/271,485_oharar,247_ysattia,183_ThomasG,44_Chris
Coturnix_coturnix_1,Coturnix_coturnix,Common Quail,Tring,1919.12.17.56,M,Coturnix,coturnix,,Y,https://www.markmybird.org/gallery/coturnix_coturnix/143,70_katie,175_JohnF,43_elliot,44_Chris
Anurophasis_monorthonyx_1,Anurophasis_monorthonyx,Snow Mountain Quail,Tring,1952.17.1,M,Anurophasis,monothonynx,,Y,https://www.markmybird.org/gallery/anurophasis_monorthonyx/1201,44_Chris,36_zoe,404_Nathaniel,35_Lara
Perdicula_asiatica_1,Perdicula_asiatica,Jungle Bush-quail,Tring,89.5.10.608,M,Perdicula,asiatica,asiatica,Y,https://www.markmybird.org/gallery/perdicula_asiatica/1687,35_Lara,36_zoe,52_grrlscientist,44_Chris
Arborophila_mandellii_1,Arborophila_mandellii,Chestnut-breasted Partridge,Tring,89.5.10.973,M,Arborophila,mandellii,,Y,https://www.markmybird.org/gallery/arborophila_mandellii/20,35_Lara,480_KateB,43_elliot,44_Chris
Caloperdix_oculeus_1,Caloperdix_oculeus,Ferruginous Partridge,Tring,1916.12.27.29,M,Caloperdix,oculea,oculea,Y,https://www.markmybird.org/gallery/caloperdix_oculeus/1236,414_Andrew,36_zoe,529_EmmaD,44_Chris
Haematortyx_sanguiniceps_1,Haematortyx_sanguiniceps,Crimson-headed Partridge,Tring,1927.4.18.10,M,Haematortyx,sanguiniceps,,Y,https://www.markmybird.org/gallery/haematortyx_sanguiniceps/1836,465_JSquirrell,444_Skite4,485_oharar,43_elliot
Rollulus_rouloul_1,Rollulus_rouloul,Crested Partridge,Manchester,3634,M,Rollulus,rouloul,,,https://www.markmybird.org/gallery/rollulus_rouloul/428,41_Emma,190_Pardalotus,43_elliot,35_Lara
Ptilopachus_petrosus_3,Ptilopachus_petrosus,Stone Partridge,Tring,1936.2.21.10,M,Ptilopachus,petrosus,petrosus,Y,https://www.markmybird.org/gallery/ptilopachus_petrosus/410,44_Chris,363_Peregrin3,43_elliot,
Bambusicola_fytchii_1,Bambusicola_fytchii,Mountain Bamboo-partridge,Tring,1926.9.8.113,M,Bambusicola,fythchii,fythchii,Y,https://www.markmybird.org/gallery/bambusicola_fytchii/1215,44_Chris,36_zoe,404_Nathaniel,43_elliot
Galloperdix_spadicea_1,Galloperdix_spadicea,Red Spurfowl,Tring,89.5.10.1492,M,Galloperdix,spadicea,spadicea,Y,https://www.markmybird.org/gallery/galloperdix_spadicea/1856,465_JSquirrell,52_grrlscientist,44_Chris,36_zoe
Ithaginis_cruentus_1,Ithaginis_cruentus,Blood Pheasant,Manchester,9891,F,Ithaginis,cruentus,sinensis,,https://www.markmybird.org/gallery/ithaginis_cruentus/920,44_Chris,40_chris13,364_cjam,43_elliot
Tragopan_melanocephalus_1,Tragopan_melanocephalus,Western Tragopan,Tring,89.5.13.459,M,Tragopan,melanocephalus,,Y,https://www.markmybird.org/gallery/tragopan_melanocephalus/1493,36_zoe,465_JSquirrell,52_grrlscientist,44_Chris
Pucrasia_macrolopha_1,Pucrasia_macrolopha,Koklass Pheasant,Tring,81.7.30.74,M,Pucrasia,macrolopha,macrolopha,Y,https://www.markmybird.org/gallery/pucrasia_macrolopha/1633,4_gavin,52_grrlscientist,36_zoe,44_Chris
Lophophorus_impejanus_1,Lophophorus_impejanus,Himalayan Monal,Manchester,4341,M,Lophophorus,impejanus,,,https://www.markmybird.org/gallery/lophophorus_impejanus/956,485_oharar,40_chris13,44_Chris,43_elliot
Gallus_gallus_1,Gallus_gallus,Red Junglefowl,Tring,89.5.13.552,M,Gallus,gallus,murghi,Y,https://www.markmybird.org/gallery/gallus_gallus/200,44_Chris,48_okeeffeml,40_chris13,36_zoe
Lophura_leucomelanos_1,Lophura_leucomelanos,Kalij Pheasant,Tring,81.5.1.5298,M,Lophura,leucomelana,leucomelana,Y,https://www.markmybird.org/gallery/lophura_leucomelanos/1768,465_JSquirrell,52_grrlscientist,480_KateB,44_Chris
Catreus_wallichi_1,Catreus_wallichi,Cheer Pheasant,Tring,89.5.10.1609,M,Catreus,wallichi,,Y,https://www.markmybird.org/gallery/catreus_wallichi/642,56_hughbrazier,40_chris13,363_Peregrin3,485_oharar
Syrmaticus_humiae_1,Syrmaticus_humiae,Hume's Pheasant,Tring,1922.12.7.16,M,Syrmaticus,humiae,burmanicus,Y,https://www.markmybird.org/gallery/syrmaticus_humiae/470,645_justinwalker,43_elliot,363_Peregrin3,44_Chris
Phasianus_colchicus_1,Phasianus_colchicus,Common Pheasant,Tring,92.9.151,M,Phasianus,colchicus,colchicus,Y,https://www.markmybird.org/gallery/phasianus_colchicus/1682,211_JohnR,36_zoe,52_grrlscientist,44_Chris
Chrysolophus_pictus_1,Chrysolophus_pictus,Golden Pheasant,Tring,1907.12.31.94,M,Chrysolophus,pictus,,Y,https://www.markmybird.org/gallery/chrysolophus_pictus/1944,44_Chris,444_Skite4,40_chris13,36_zoe
Polyplectron_napoleonis_1,Polyplectron_napoleonis,Palawan Peacock-pheasant,Tring,1911.11.16.3,M,Polyplectron,emphanum,,Y,https://www.markmybird.org/gallery/polyplectron_napoleonis/382,645_justinwalker,541_W.W,44_Chris,36_zoe
Rheinardia_ocellata_1,Rheinardia_ocellata,Crested Argus,Tring,1928.6.26.98,M,Rheinardia,ocellata,,Y,https://www.markmybird.org/gallery/rheinardia_ocellata/1622,465_JSquirrell,36_zoe,52_grrlscientist,44_Chris
Argusianus_argus_1,Argusianus_argus,Great Argus,Tring,1905.2.1.226,M,Argusianus,argus,argus,Y,https://www.markmybird.org/gallery/argusianus_argus/1210,44_Chris,36_zoe,404_Nathaniel,43_elliot
Afropavo_congensis_1,Afropavo_congensis,Congo Peafowl,Tring,1984.10.1,M,Afropavo,congensis,,Y,https://www.markmybird.org/gallery/afropavo_congensis/43,44_Chris,56_hughbrazier,363_Peregrin3,4_gavin
Pavo_cristatus_1,Pavo_cristatus,Indian Peafowl,Tring,89.5.10.7,M,Pavo,cristatus,,Y,https://www.markmybird.org/gallery/pavo_cristatus/1691,35_Lara,36_zoe,52_grrlscientist,44_Chris
Dendragapus_obscurus_1,Dendragapus_obscurus,Dusky Grouse,Tring,1913.12.26.2,M,Dendragapus,obscurus,obscurus,Y,https://www.markmybird.org/gallery/dendragapus_obscurus/756,533_mahua,183_ThomasG,363_Peregrin3,36_zoe
Lagopus_lagopus_1,Lagopus_lagopus,Willow Ptarmigan,Tring,88.10.10.2804,M,Lagopus,lagopus,lagopus,Y,https://www.markmybird.org/gallery/lagopus_lagopus/1793,465_JSquirrell,36_zoe,379_Emma94,44_Chris
Tetrao_tetrix_1,Tetrao_tetrix,Black Grouse,Manchester,8388,M,Tetrao,tetrix,,,https://www.markmybird.org/gallery/tetrao_tetrix/1466,43_elliot,485_oharar,50_kathrynross27,
Bonasa_bonasia_1,Bonasa_bonasia,Hazel Grouse,Tring,96.1.1.471,M,Tetrastes,bonasia,bonasia,Y,https://www.markmybird.org/gallery/bonasa_bonasia/1222,44_Chris,43_elliot,404_Nathaniel,35_Lara
Centrocercus_urophasianus_1,Centrocercus_urophasianus,Greater Sage-grouse,Tring,1903.12.16.1,M,Centrocercus,urophasianus,,Y,https://www.markmybird.org/gallery/centrocercus_urophasianus/643,56_hughbrazier,369_Gepwin,363_Peregrin3,36_zoe
Tympanuchus_phasianellus_1,Tympanuchus_phasianellus,Sharp-tailed Grouse,Manchester,7241,F,Tympanuchus,phasianellus,,,https://www.markmybird.org/gallery/tympanuchus_phasianellus/1505,183_ThomasG,36_zoe,52_grrlscientist,44_Chris
Meleagris_gallopavo_1,Meleagris_gallopavo,Wild Turkey,Tring,NA,M,Meleagris,gallopova,osceola,,https://www.markmybird.org/gallery/meleagris_gallopavo/272,485_oharar,259_NicosNest,363_Peregrin3,43_elliot
